,resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,average_temp,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score
0,2,"{'id': 30502108, 'resource_state': 1}",Docs think it ain’t broken... and they’re probably right,8306.3,2629,2629,88.0,Run,0.0,3989243090,garmin_push_5464222151,4270249233.0,2020-08-30T23:09:53Z,2020-08-30T16:09:53Z,(GMT-08:00) America/Los_Angeles,-25200.0,"[37.365194, -122.137247]","[37.365176, -122.137211]",,,,37.365194,-122.137247,1,2,3,1,0,"{'id': 'a3989243090', 'summary_polyline': 'm{`cFx|mhVCMWa@c@c@[c@MWuAkBo@cAc@eASG[LgAjAuAbAQTYPuBrB]TaAd@g@d@]T_DtCYR}@bAa@Xo@f@eCzBSJW@UUuAqBWe@Yu@m@cAq@yAS]Y]_@i@YS_Aa@q@Os@SiAOc@@e@R]l@kAzAUFWBa@Vi@C]CYEc@MQGgAm@]Oa@Fc@R_@\\g@x@_@ZaAj@u@Vg@LcBJsC?[E{@YmDy@sACg@Kc@Cc@BWHc@f@_A`@]La@F]Pi@FKHGJ[NiAZsEbBiA^i@Te@LkCnA_AXa@Pg@b@S^w@hBeAvCeAjCg@p@[Z]JkAVcABgAMe@AeABeBEuADcDEkCBkAFQ@k@LaBr@DPt@`CdA|DL|AFP\\dANVZ|A~BhIZbB^lC^hBPj@Zh@\\b@XVZRh@PXNV~@b@Vf@P^RbA^rAZ|Cb@b@?x@IbA@hBp@T@p@Cb@P^ZPABE@a@H[PQNE`@Dd@Fd@?n@OxAy@hASzAg@dB[nAO\\C`BWZEfAY`BWf@CXKf@IPIh@EzAe@XEj@C|@[x@u@tAq@\\Gp@[j@OTOPUDKr@oC^_Az@oBT[h@{ARY`@U`@Q`@a@ZWxAw@t@i@DEh@YdBuAXc@d@kA`AiBHg@j@k@N]R{@Bk@WoAQ_BBa@LUh@[t@i@p@s@~@s@r@s@DAnAcAr@s@P]rAcAZ]v@m@`CyBp@e@j@q@|@o@fCgC|@s@`@c@r@SfDuC`@_@l@e@nAoA`@YXIVFVXN`@~A~B~AnCVf@@L', 'resource_state': 2}",False,False,False,False,everyone,False,,False,4270249233,3.159,4.2,83.9,27.0,True,160.0,177.0,False,True,106.0,28.8,0,0,False,90.0
1,2,"{'id': 30502108, 'resource_state': 1}",Up in smoke,5943.4,1810,1810,83.0,Run,0.0,3942323714,garmin_push_5415700361,4220039011.0,2020-08-20T19:02:55Z,2020-08-20T12:02:55Z,(GMT-08:00) America/Los_Angeles,-25200.0,"[37.365236, -122.137278]","[37.365201, -122.137237]",,,,37.365236,-122.137278,0,6,0,1,0,"{'id': 'a3942323714', 'summary_polyline': 'u{`cF~|mhVAQW[i@w@}B}DY_AWk@a@MWJ_@F_@V_@b@g@Vq@j@eClBuAxA]b@_Av@qAbA{AzA_Az@WPuArAo@d@sAhAa@Pe@i@m@kAe@oA[e@[s@gAoBy@mA{@u@e@U_AWeCc@YAKBa@Ts@z@i@`Aa@Nw@Hi@EWGe@Ga@MsAy@QGKAa@F_@H]PSNo@x@c@^UL]|@KJy@TaAE]@YBu@?YDu@CoCc@mBi@mAGmA?[AIEI]KqAKo@BkDFaBCaCFg@AcAFqCH_AHcC?{@Di@C}@JeEEy@DwBRgCf@yBRyAPuFAqAFc@HOXU^Cd@FTGBEVg@`@yAPc@Hi@b@gAJa@NGp@}@BANFfApBfA`C`AdCNTn@r@\\L^DbAWh@AnAHbBA~AFrB^h@Td@J`ACh@I|@EfAMnAD`ANl@DZN^V\\f@X\\VNd@N`AC`@H`@Rn@fARd@n@l@ZTt@\\d@NnANhAb@|AlAv@\\jCtA\\X^b@Pd@F^l@|BCjAG^Ej@QlAKb@Ap@Hd@V\\n@|@dAlBt@bA^r@\\d@~@jB^\\HAVt@^j@n@vA~@vAL`@AF', 'resource_state': 2}",False,False,False,False,everyone,False,,False,4220039011,3.284,5.2,82.1,30.0,True,162.8,179.0,False,True,106.0,39.0,0,0,False,70.0
2,2,"{'id': 30502108, 'resource_state': 1}","Fresh legs, stale air",5564.9,1654,1654,80.0,Run,0.0,3926796481,garmin_push_5399657923,4203317767.0,2020-08-17T16:15:12Z,2020-08-17T09:15:12Z,(GMT-08:00) America/Los_Angeles,-25200.0,"[37.365325, -122.137328]","[37.365191, -122.137224]",,,,37.365325,-122.137328,1,3,0,1,0,"{'id': 'a3926796481', 'summary_polyline': 'g|`cFh}mhVFCH@NJFHFNIZq@XSJm@h@SXGRg@pC]|@W`@k@l@KRGv@Db@?f@GRs@lAq@~@YT]NUPCV_@`AaA`Ae@Xe@HUTSd@Cb@Dh@Hb@L\\`@d@n@f@dBj@\\VnA|ATd@E\\UF[EoBg@q@GeACk@HIFUZYd@EVA\\GRmAbAiAn@y@^u@b@oAh@wAt@k@P_Al@uAt@qAl@wBhAo@bA[\\eAdB{@lAsA~AaA|@uArC_@h@q@hAKZOx@M`@k@`ASNSHq@NY@a@Ki@WaAUi@WSE[J{@~@uAn@c@j@w@pAIb@Ev@ENOPYBSE_@UQSe@]Wk@Mo@M[IwAAs@e@iDCs@I]Aw@WmA@OPS`@MP]v@m@j@Sr@_@j@Ol@[|@[R[Po@Z}A|@aCRWr@cB\\q@\\c@\\Yv@c@^WTUpB}A~A_Av@q@NSxA{C\\eABQFKXSTYVk@Hg@Bc@Ge@UuAGm@@g@JW^]`Au@vAkAbAu@bAm@\\YPUtBuBT?~@m@xCsC`@e@`ByA`Aq@XWh@m@zA}AlAaAp@q@~@y@bBqAl@i@\\c@n@m@^UP?j@d@\\~@ANJVV\\`@`@tAlBt@lADX', 'resource_state': 2}",False,False,False,False,everyone,False,,False,4203317767,3.365,4.7,83.4,29.0,True,165.3,179.0,False,True,133.2,72.0,0,0,False,69.0
3,2,"{'id': 30502108, 'resource_state': 1}",Cruising on autopilot,5567.5,1741,1741,86.0,Run,0.0,3912572739,garmin_push_5385065571,4187767000.0,2020-08-14T16:22:11Z,2020-08-14T09:22:11Z,(GMT-08:00) America/Los_Angeles,-25200.0,"[37.365355, -122.137137]","[37.365228, -122.137259]",,,,37.365355,-122.137137,0,3,0,1,0,"{'id': 'a3912572739', 'summary_polyline': 'm|`cFb|mhV@Q[a@MYgBwC]u@K[?GYk@GACEOGOFcAx@q@Zi@j@kCtB_@Z]b@yBjBgAz@{@v@URYH[RoBrAg@b@WXm@h@oBtAuAvAUPW^{@t@q@f@]Za@bAONe@\\OFQ?IFeBvAUXET?LN~AFxA?XQdAS^SRc@r@Ml@c@t@g@zAKPWZSNq@`@y@n@eAn@o@d@}@d@]TWXy@n@u@hAUh@[~@y@jB]pA]xAUZiAb@WDg@P]Zg@\\_@Pe@`@g@RQX[RUXLlBBVHP?FXtATdBBrAHx@Nj@P\\Lb@Xn@VXhAn@\\DNCHKDYDw@C[t@cBLSTOz@O^ML]R]NKVKXJ\\TxA`@PHVDdA?bAONGLOFMZmAD_@b@kAnAeBj@mAR[XYv@qAXYfBoDV]f@_A`@e@h@w@^[rBq@tAm@HEt@o@REh@Y`C{@bB_ApAi@ZWnAs@z@o@HO@aADi@DIJMVS^GxA@pAX`@Lp@LP@REJUE]EIqAkAU_@o@c@yAm@YY]k@Uq@Km@B[DSLYHG^Md@ATKp@q@b@{@FS?IEc@FOn@Ob@OVa@fAsBHOF[K{AJc@HMp@g@RW^aBV_BDWTi@\\a@l@WJKNQLUASQS', 'resource_state': 2}",False,False,False,False,everyone,False,,False,4187767000,3.198,4.0,82.4,28.0,True,164.7,193.0,False,True,130.8,67.6,0,0,False,69.0
5,2,"{'id': 30502108, 'resource_state': 1}",Morning Run,5910.5,1762,1762,82.0,Run,,3903121812,garmin_push_5375334482,4177506745.0,2020-08-12T16:14:38Z,2020-08-12T09:14:38Z,(GMT-08:00) America/Los_Angeles,-25200.0,"[37.36528, -122.137241]","[37.365237, -122.137186]",,,,37.36528,-122.137241,3,3,0,1,0,"{'id': 'a3903121812', 'summary_polyline': '_|`cFx|mhVFOAE[k@]]{A_Cu@uAEOEYUk@q@y@s@gAkEcHGY@c@Fw@f@cDB_@?YSkAUi@Ii@KYQ]u@s@u@e@_Bw@a@WoAkAaAg@i@Ig@C]Go@Ma@OWOi@c@[]k@oAa@e@a@KcABs@Si@g@k@}@UUWI}@Gq@Ks@AmBJiAJa@J_@@MAWG_A[gAW}@IiB?eBGe@Ee@Bc@HS@c@@]Ic@Oc@[ISeAgBkA}C[m@Us@QUCCUBSTw@l@k@pAMl@Wh@]jAKh@MRKFm@DUBYXIPEZMpCIhACdBKh@e@rAUzAKzDOlCExCDn@CdCD|@Ah@B^Ld@At@C`@IlCAlCIpCBjACdENRHBr@Fx@Jh@Rx@@z@Vb@V^Ld@J`AL^@lAIlAA`BQZSP[\\[h@]z@qAJKXOx@QP@RD`@RXV`@JhALdAP\\?JCXSj@w@x@cAZQh@IvDt@f@Rj@\\d@`@fCrDTt@f@dAjBrCPJv@m@\\[|@cArCeC`@[zBqBl@Un@c@fAgAfCwBv@{@jDuC\\GXNLb@r@nAj@p@`AtAf@bAd@t@BL', 'resource_state': 2}",False,False,False,False,everyone,False,,False,4177506745,3.354,5.0,83.0,23.0,True,146.1,178.0,False,True,106.8,38.8,3,0,False,30.0
6,2,"{'id': 30502108, 'resource_state': 1}",Random: shin splints,6445.9,1955,1963,81.0,Run,0.0,3893186327,garmin_push_5365119093,4166724169.0,2020-08-10T16:09:49Z,2020-08-10T09:09:49Z,(GMT-08:00) America/Los_Angeles,-25200.0,"[37.365232, -122.137258]","[37.365969, -122.138831]",,,,37.365232,-122.137258,0,4,0,1,0,"{'id': 'a3893186327', 'summary_polyline': 'u{`cFz|mhV@CIYc@s@k@q@m@gAo@_AcAiBs@e@KD_BzAaE~CgB`Be@h@iAfAcBtAe@h@w@t@_BnA{@j@k@h@_@VmBnBc@\\k@p@iAt@s@j@uBhC}@n@WXg@`@ILCj@RzANz@Gp@m@vAWXWn@Wt@a@t@Wj@kAnB_@VuEfC}B`BSRMRg@jA_@n@oA|B_@`BQf@QbA[Ve@La@NaBv@eBrAWLcBf@]Bq@Le@P[ToA\\}@H_@HsAb@uCb@u@H]@cCZg@LWNuA\\aBp@}@`@OBSAy@OK?[JH[RQnALh@OhAi@l@UTCh@Wj@Q|B_@zC_@zBi@TCRGXCjAWnB[rA[\\Aj@Qf@Gv@S`As@~A}@h@ObA_@^ITMZy@`@gB`BaCp@eBLWV]RWdCcBVU\\c@rByA\\_@j@a@ZYLi@v@cBn@gAXy@X[FMDi@Lc@PWAc@WiAQyA@Ob@m@x@o@V]VQ`@g@\\Yz@_@^a@lAu@h@s@^]zAmAtBmBb@e@rAaAjBeB`@Yf@e@`@Y^c@rBmBfBaBb@YdB}AbAq@fAkAXQVHT\\b@t@Xz@h@j@HL~CfFDTEJi@`@YZc@V_@^Oh@[dB', 'resource_state': 2}",False,False,False,False,everyone,False,,False,4166724169,3.297,4.2,83.9,23.0,True,153.6,171.0,False,True,124.0,56.6,0,0,False,51.0
7,2,"{'id': 30502108, 'resource_state': 1}",“Stop titling your runs. It’s weird” -wife,4772.0,1482,1482,80.0,Run,0.0,3878748519,garmin_push_5350188957,4150828434.0,2020-08-07T16:14:54Z,2020-08-07T09:14:54Z,(GMT-08:00) America/Los_Angeles,-25200.0,"[37.365268, -122.137166]","[37.365193, -122.13724]",,,,37.365268,-122.137166,3,3,2,1,0,"{'id': 'a3878748519', 'summary_polyline': '{{`cFh|mhV?EIOs@mAa@w@kBsCEMY]]]SAYN_A|@YN]B]TgEvD[PyAtA_@Vs@r@yA~AmA~@[^}@t@sAdAyAbAKBUKGI]{@e@_Ae@mA]m@_AwBaAaBg@]]CS?oEaAa@Ha@Za@j@eAhAk@J_@Cm@@}@MYIqAo@c@Oi@Bi@Tc@\\I\\[Zw@j@cAh@gAT]?eAFqABw@Ae@Ga@Mi@SuBq@{@G{@OgAG[KE]Dq@Ao@XkNDUBC\\@f@H^Cd@@^CvCJv@FhB?lADhAJ^AZEXKhA_ARSdAq@~@s@\\[`Aq@LGRCf@DfCd@Z?bANv@FlAVnAR`CVn@?p@BjBTTJXThAdBl@t@h@h@h@z@ZXdAl@`A`@\\PjBr@d@TTBtBdAh@Lf@RV@b@c@\\U\\CzAsAPWn@m@v@o@~@cA\\IPBHDTn@Zb@ALNV`ArA`@r@NLZd@j@nA?L', 'resource_state': 2}",False,False,False,False,everyone,False,,False,4150828434,3.22,4.4,83.7,23.0,True,149.1,167.0,False,True,116.4,52.8,0,0,False,32.0
9,2,"{'id': 30502108, 'resource_state': 1}",All was good until I got stung in the back of the head,5526.7,1627,1627,91.0,Run,0.0,3869276318,garmin_push_5340502178,4140455284.0,2020-08-05T17:21:18Z,2020-08-05T10:21:18Z,(GMT-08:00) America/Los_Angeles,-25200.0,"[37.365343, -122.137146]","[37.365201, -122.137226]",,,,37.365343,-122.137146,4,5,1,1,0,"{'id': 'a3869276318', 'summary_polyline': 'k|`cFd|mhVCSQe@a@_@]a@oAoB_@o@w@gBCCUCC@sAhAw@t@e@Ny@v@oA`Aw@x@k@\\eAhAwAfAsBbBg@h@{@p@wCtCkA~@k@n@i@Z]^gCjB}A~AwApA_@Ve@d@Oh@D`@R`BB`@Cb@G`@c@tAk@x@WVc@`A}@bCYb@}@t@sCfB_ChAi@`@q@~@i@hAOPy@pAUh@c@|AMx@]xAIHYPaA`@cAZQNeApAuAz@a@j@GZJ^@l@Nv@Bd@Rx@RvALhCLj@X|@Pb@ZZz@b@d@NRFLCJKHOFwAHc@z@eB`@Sp@ITKZ[T_@JIX?h@Vv@RZARLb@J~@CtA]HKn@qAXy@rAsBrAoCpAsBdBgCLYV]t@{A|@mA|@m@t@i@fAi@bBgAVGVK|@YlAe@z@a@b@E~@Y`Ag@x@{@n@a@NGXUJ}AFSPY\\QzBCl@Hl@Xp@LVIFK@GE_@SWs@s@_@g@OKcBs@q@w@S]K]Km@Ag@J_@^a@hA_@f@k@V[Tg@H_@Ba@ZQf@M`@[nAwBHi@GeBJ]RYj@m@Tc@X_ABQ@YPoADORa@x@y@p@WNM@U?EY[', 'resource_state': 2}",False,False,False,False,everyone,False,,False,4140455284,3.397,4.2,84.0,21.0,True,157.9,175.0,False,True,134.4,69.6,4,0,False,50.0
10,2,"{'id': 30502108, 'resource_state': 1}",Moments of clarity,10549.8,3275,3275,126.0,Run,0.0,3864911527,garmin_push_5335998152,4135676639.0,2020-08-04T19:08:45Z,2020-08-04T12:08:45Z,(GMT-08:00) America/Los_Angeles,-25200.0,"[37.365191, -122.137296]","[37.365212, -122.137194]",,,,37.365191,-122.137296,0,2,0,1,0,"{'id': 'a3864911527', 'summary_polyline': 'm{`cFb}mhVMWa@aAwAgC_@u@w@gAEIA]i@]o@gAEAsAmBk@_AISwAeCK_AFw@ZeBBs@Aa@c@iBIw@Wg@e@g@c@U_@Uq@m@}@k@e@U]]o@_A]SkA_@o@Co@OYKw@k@m@cAU{@KWQK_@KQAu@R[ASGe@Yo@q@Yi@SQi@Eg@?aAG_AAc@Ia@?{AHeA@e@K{@[_@IaAKs@@aBH_@AyBWcANe@B]Ew@g@Ya@k@iAKa@Yq@S]Qe@q@qAUk@[_@CAE?a@\\_@NURWt@g@z@k@xBCZQj@cADWLQRM^Ch@?~AK`A?tAEfA]fBc@bBGh@IdA?|@I`CBZGfJEf@ITE@a@Ae@CiAA{CKc@@qA?s@GqBGs@E}@?c@G_A[{@e@wBe@a@QiA[e@SeA[]W]c@w@s@a@KIAQFKPO~@Ed@KZS?]BgA`@UBQ?g@GaASg@E]Dm@j@{AhA}A|@]Xy@@wEMs@Pm@Ts@Nw@C]@e@Eg@@c@AUL?DK`HGPWFe@?u@FaAIgAC_DD]D[b@EZDXb@rApBpEF`@Ah@Bf@R^r@lBn@lAl@rANj@x@vBh@dAL^Hh@^rA|@nAPX^lBf@hA~@`CXNV`@VxAnAxELx@J`BNl@Xb@b@~@V~@TjArA~DJb@h@nCj@bEXjA`@l@X\\XVZRp@NTNH\\HTRPnBfAh@ThAXl@@tB\\T?n@Eb@Ab@Ef@Fd@Rb@NZ@^G`@At@p@PA@[Fe@VQNCN@fAR^Eb@Qb@Wd@M~@c@f@QZE`A]xBY~@GvBc@b@C|AYtCs@tAUf@Gh@Q|@QbA[x@{@f@Yd@Sx@Ur@Yf@MTUv@eCTg@Fc@Ty@\\o@d@iAbAmBJM~@_@nCcB`BsAzAeA`@]f@}@Pc@l@qAX}@f@e@Nc@Dm@@i@W}BEs@Be@Zi@d@Un@w@bBsAp@o@HAd@g@v@o@X[T]b@Y`AeAtAcA~@w@`@MRK`Aw@^c@`Aw@bB}AjC{B`A}@|@s@jBgBtAgAbAcA\\M\\N\\f@P^Bp@`@RZ\\`@n@|@pAp@vA', 'resource_state': 2}",False,False,False,False,everyone,False,,False,4135676639,3.221,4.5,82.9,29.0,True,159.6,172.0,False,True,107.4,13.6,0,0,False,109.0
11,2,"{'id': 30502108, 'resource_state': 1}",Making the best of it ,4056.4,1172,1172,55.0,Run,0.0,3859170919,garmin_push_5330052210,4129355936.0,2020-08-03T17:18:04Z,2020-08-03T10:18:04Z,(GMT-08:00) America/Los_Angeles,-25200.0,"[37.365246, -122.137239]","[37.365172, -122.137293]",,,,37.365246,-122.137239,1,0,0,1,0,"{'id': 'a3859170919', 'summary_polyline': 'w{`cFv|mhVBA?IMWyD}Fw@aBa@KSHWP_@RaBhAaAx@}A|AeBrA}@~@[NaBrAcDzCcAp@]\\Qb@a@d@wAjAy@x@WBaBnAa@XgC`Cc@f@e@ZyAlAEL@^^nBHx@Cd@Mn@Sb@Yf@QPMTmAtCOXCNMXa@f@gA`AcAh@cAp@QVc@\\k@VwAlAIDC?YSYEWOeA_AYa@]o@MwACkBBK?UHUDIh@?hAUdBN\\EPONUJ_@@W@cAHUJMf@Uf@]XYXg@d@e@d@a@b@[HKXShCk@l@UZQp@q@l@_@\\[^I^Q\\W`@SdA}@\\O\\]p@}@fAkAn@i@Ri@V_@^]v@m@PCZMxAuA~BoB^e@dB_BpC{B~AuAv@{@NKZ]fBuAL?LFPFNLB\\Tn@Vd@z@bAtAnBf@bAJV?F', 'resource_state': 2}",False,False,False,False,everyone,False,,False,4129355936,3.461,4.7,83.8,28.0,True,146.5,167.0,False,True,108.0,79.4,0,0,False,21.0
